,h2_burden,h2_burden_delta,h2_loss,h2_atm_loss,h2_soil_sink_loss
CNTR,204.61731157333332,0.0,87.18495470340196,29.166824331936503,58.01813037146545
antro01,204.8323966293333,0.21508505599996397,87.28406064568561,29.19655469783101,58.0875059478546
antro1,206.768242688,2.150931114666662,88.17599120521044,29.46398985469738,58.712001350513056
antro10,226.13948416,21.52217258666667,97.08850681277217,32.12847723934051,64.96002957343165
antro100,422.54645384533336,217.92914227200004,186.2551310496508,58.04539353262467,128.20973751702613
nemo,207.15230276266664,2.5349911893333115,88.17557870205837,29.49878076808192,58.67679793397645
epia,206.54873122133333,1.931419648000002,88.17885849988328,29.433302140862274,58.745556359021
munich,206.6675643733333,2.0502527999999813,88.17035049962111,29.450073024057346,58.72027747556376
usdrydep,206.37535709866663,1.7580455253333014,88.17694461257143,29.411762156378906,58.76518245619253
maud,207.17768021333333,2.560368640000007,88.17504690023553,29.498073716620567,58.67697318361496
zep,206.6875501226667,2.070238549333368,88.1758312316723,29.446624762715828,58.72920646895648
maxdep,206.589435904,1.9721243306666736,88.17405598051819,29.439920975582183,58.73413500493601
