,H2 burden [Tg],H2 surf. conc [ppbv],H2 atm loss [Tg/yr],H2 atm prod [Tg/yr],H2 soil sink [Tg/yr],H2 estimated emissions [Tg/yr],H2 atm lifetime [yrs],H2 soil sink lifetime [yrs],H2 total lifetime [yrs]
CNTR,204.61731157333332,559.2132394661261,29.166824331936503,55.80309452782843,58.01813037146545,31.38186017557353,7.015412759533288,3.5267822362295296,2.3469337372420425
antro01,204.8323966293333,559.8346468144617,29.19655469783101,55.80211980466045,58.0875059478546,31.481940841025164,7.015635877220476,3.526272875499461,2.346733127607509
antro1,206.768242688,565.4284695436667,29.46398985469738,55.79342142617186,58.712001350513056,32.382569779038576,7.017659309132411,3.5217372586838778,2.344949456896854
antro10,226.13948416,621.4016165399485,32.12847723934051,55.706613466449035,64.96002957343165,41.38189334632313,7.03859951019085,3.481209686094262,2.32920962103262
antro100,422.54645384533336,1188.7374547436757,58.04539353262467,54.87800591828889,128.20973751702613,131.3771251313619,7.279586339746999,3.29574384932517,2.268643293014534
epia,206.54873122133333,565.221614939877,29.433302140862274,55.7940855545663,58.745556359021,32.384772945316975,7.01751812395462,3.5159890215188265,2.342383817790142
maud,207.17768021333333,568.3640357277145,29.498073716620567,55.791090946621864,58.67697318361496,32.383955953613665,7.023430824793143,3.5308174394923615,2.349618032500076
maxdep,206.589435904,564.6346067961041,29.439920975582183,55.79397631256302,58.73413500493601,32.38007966795517,7.017323044968351,3.517365768417944,2.342973039026869
munich,206.6675643733333,565.4416687554409,29.450073024057346,55.79356285706367,58.72027747556376,32.37678764255744,7.017556941353235,3.519526358834685,2.343957613894496
nemo,207.15230276266664,567.0611247158398,29.49878076808192,55.79110380953527,58.67679793397645,32.3844748925231,7.022402193205497,3.530395489470231,2.3493160556691746
usdrydep,206.37535709866663,564.3676552256825,29.411762156378906,55.79489524883386,58.76518245619253,32.38204936373757,7.0167627495895335,3.511864482893634,2.340468452444468
zep,206.6875501226667,565.8445889145245,29.446624762715828,55.793560341720216,58.72920646895648,32.38227088995209,7.019057422987453,3.519331565154369,2.344038578775831
10CH4_SSP119,188.1276975786667,514.3569063264434,25.154036442003054,47.17062424231077,53.42588428152792,31.409296481220203,7.479026199728516,3.5212837393074676,2.3940937563497866
10CH4_SSP434,234.93176388266667,639.8112492689611,28.617554661824883,63.43207982614691,66.13346323263083,31.318938068308803,8.209358439561571,3.5523886456130622,2.4794642749311673
10CH4_SSP585,245.20931464533336,667.6169102417227,31.397362283764437,69.03579482080949,68.93633076050385,31.2978982234588,7.809869900190023,3.5570404159924154,2.443937895689182
CNTR_SSP119,180.97834120533332,495.279145165024,24.943170580596018,45.023135160242155,51.50535483179519,31.42539025214905,7.255626970940149,3.513777194553218,2.367322851932986
CNTR_SSP434,224.97497497600003,613.3166780220467,28.304495624217104,60.42693810312797,63.46485937462365,31.34241689571278,7.948383110685541,3.544874710081781,2.451526165557576
CNTR_SSP585,234.1178094933333,638.0722619225894,31.013814055627265,65.64970221518533,65.95774548149514,31.321857321937074,7.548823536292986,3.549512006274025,2.414293537309864
antro10_SSP119,202.8024832,558.2937764241386,27.819832978220177,44.92665577700303,58.53356395653047,41.42674115774762,7.2898526514796735,3.464721255493853,2.348517723665686
antro10_SSP434,247.34954291200003,677.9080843330476,31.01466067142654,60.32338628073679,70.65191106483974,41.343185455529486,7.975245821079719,3.5009604012692406,2.43294859547001
antro10_SSP585,256.0896109226667,701.5620697755616,33.832278702050175,65.54083140332563,73.03016221490631,41.32160951363086,7.569387009901527,3.5066279898033117,2.3964417125908213
