,h2_agwp_ch4,h2_agwp_o3,0,h2_agwp_ch4ind_o3,h2_agwp_ch4ind_h2o
CNTR,,,,,
antro01,0.42788559859840164,0.19064447160917591,0.16749752454283476,0.24971985094509427,0.05837567129470163
antro1,0.43116814304086587,0.21341292637964784,0.1675013984823714,0.2516355884963881,0.058823502995537603
antro10,0.42979687830919117,0.21630622794150414,0.16812149636943535,0.25083529976145114,0.05863642378675733
antro100,0.40804625737050493,0.21605492984277352,0.16987958052259228,0.23814134175827506,0.05566902525188843
nemo,0.4977480724571354,0.23198509253933997,0.18372258318680595,0.2904925402242041,0.06790688436466955
epia,0.3872333772825344,0.18440416532148957,0.14085870332283143,0.22599466206087254,0.052829561033669356
munich,0.4146429475135118,0.19853951148426346,0.15120827648310803,0.24199125978458555,0.05656899995700253
usdrydep,0.35566342005261453,0.169447288169219,0.13004164539133353,0.2075700059387162,0.048522527910614226
maud,0.49812968846965006,0.23473571526295262,0.18382126491053472,0.29071525651583807,0.06795894755861745
zep,0.4093431161643001,0.19158794722020278,0.14734429147782133,0.23889820617657795,0.05584595339088215
maxdep,0.3955408831061721,0.20333610384809936,0.1607519914073578,0.23084303537093434,0.05396293927969595
