,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux
CNTR,0.0,,,,,,
SSP119,9.904871522359443,6.361983708406943,1.1185918560093788,0.2961385545140817,0.4309710702832935,0.22200186999257507,0.17466152853115413
SSP434,9.897216737425524,6.526219241693843,1.263634841392699,0.2960670643651804,0.4868532316917791,0.18311208575911392,0.1754028476950956
SSP585,9.890881379834099,6.419024292659859,1.3340233405862982,0.31968197714494,0.513972512661089,0.17964020917515064,0.17147106864084616
antro01,0.09910594228367131,6.270132083069195,1.1105834681229279,0.3042442121685958,0.42788559859840164,0.19064447160917591,0.16749752454283476
antro1,0.9910365018084946,6.27144415589003,1.1191033612979284,0.3065782359148432,0.43116814304086587,0.21341292637964784,0.1675013984823714
antro10,9.903552109370224,6.279401207470094,1.1155442231862311,0.30560321044231137,0.42979687830919117,0.21630622794150414,0.16812149636943535
antro100,99.07017634624886,6.3543261806395845,1.059090161364475,0.29013762675979227,0.40804625737050493,0.21605492984277352,0.16987958052259228
epia,0.9939037964813338,6.045228416494679,1.0050700199401328,0.27533881528759957,0.3872333772825344,0.18440416532148957,0.14085870332283143
maud,0.9900921968335865,9.242367822768005,1.2929030535445651,0.3541906414300219,0.49812968846965006,0.23473571526295262,0.18382126491053472
maxdep,0.9891012771162622,5.481104367577079,1.0266322755039765,0.2812457926962291,0.3955408831061721,0.20333610384809936,0.1607519914073578
munich,0.9853957962191657,6.320738644524853,1.0762119692522627,0.29482814404304203,0.4146429475135118,0.19853951148426346,0.15120827648310803
nemo,0.9906239986564174,7.922163465005702,1.2919125634788606,0.3539192967915046,0.4977480724571354,0.23198509253933997,0.18372258318680595
usdrydep,0.9919899091694901,5.19603648374988,0.9231297239737711,0.252891280719772,0.35566342005261453,0.169447288169219,0.13004164539133353
zep,0.9908765282703627,6.692407438466459,1.0624561777520247,0.29105974655841266,0.4093431161643001,0.19158794722020278,0.14734429147782133
