,deltaH2,surf_h2_per_h2_flux,surf_ch4_per_h2_flux,ch4_flux_per_h2_flux,ch4_rf_per_h2_flux,ozone_rf_per_h2_flux,h2o_rf_per_h2_flux
CNTR,0.0,,,,,,
SSP119,9.904871522359445,6.361983708406943,1.1185918560093788,0.2961385545140817,0.4309710702832935,0.4848635759698119,0.23996401284524188
SSP434,9.897216737425524,6.526219241693843,1.263634841392699,0.2960670643651804,0.4868532316917791,0.4328298598614982,0.2460086667797934
SSP585,9.8908813798341,6.419024292659859,1.3340233405862982,0.31968197714494,0.513972512661089,0.45090996215335705,0.24554050154411428
antro01,0.0991059422836713,6.270132083069195,1.110583468122928,0.3042442121685958,0.4278855985984016,0.44036432255427016,0.22587319583753632
antro1,0.9910365018084946,6.27144415589003,1.1191033612979284,0.3065782359148432,0.4311681430408658,0.46504851487603593,0.22632490147790899
antro10,9.903552109370224,6.279401207470094,1.1155442231862311,0.3056032104423113,0.4297968783091911,0.46714152770295525,0.22675792015619262
antro100,99.07017634624886,6.3543261806395845,1.059090161364475,0.2901376267597922,0.4080462573705049,0.45419627160104853,0.2255486057744806
epia,0.9939037964813338,6.045228416494679,1.0050700199401328,0.2753388152875995,0.3872333772825344,0.410398827382362,0.19368826435650072
maud,0.9900921968335864,9.242367822768005,1.2929030535445651,0.3541906414300219,0.49812968846965,0.5254509717787907,0.2517802124691521
maxdep,0.9891012771162622,5.481104367577079,1.0266322755039765,0.2812457926962291,0.3955408831061721,0.4341791392190337,0.21471493068705372
munich,0.9853957962191656,6.320738644524853,1.0762119692522627,0.294828144043042,0.4146429475135118,0.440530771268849,0.20777727644011051
nemo,0.9906239986564174,7.922163465005702,1.2919125634788606,0.3539192967915046,0.4977480724571354,0.5224776327635441,0.2516294675514754
usdrydep,0.99198990916949,5.19603648374988,0.9231297239737712,0.252891280719772,0.3556634200526145,0.3770172941079352,0.1785641733019477
zep,0.9908765282703628,6.692407438466459,1.0624561777520247,0.2910597465584126,0.4093431161643001,0.43048615339678065,0.2031902448687034
